book_id,rating,number_of_likes
18250727,1,19
409901,0,5
255565,4,10
12247405,5,18
17830148,5,16
17411148,5,59
364549,5,18
33913848,4,12
17908731,4,17
10131860,5,52
13403051,2,10
987577,5,89
27400631,5,60
1096582,2,29
42045749,3,11
25108299,5,0
6340471,1,20
2023774,0,6
23173415,4,8
13515264,5,34
5781174,0,19
22820251,0,20
1309025,4,5
6359290,3,99
16059376,1,82
26626118,1,21
42199290,2,11
40159,0,15
184630,1,53
5295735,3,9
15815363,4,9
7656016,2,59
6427759,2,61
3873345,4,92
15839460,4,5
24673969,1,13
23149096,1,4
1419203,3,9
42772928,5,7
17558144,3,1
34898,5,67
16129915,5,57
23168809,1,100
24699867,1,11
16118927,2,3
9639243,4,88
25539647,5,72
20578970,3,98
12295828,4,13
3214819,1,11
18110734,3,2
3544982,5,29
27484033,2,18
16006196,2,15
6559232,1,11
39363,2,12
1178666,5,11
10429015,2,16
35069228,3,23
18402014,3,12
15803037,3,16
15759307,1,12
378164,5,14
13227268,0,75
30969741,3,23
12988102,1,70
12408149,5,87
13607683,4,15
20803627,1,9
24005710,4,59
15740944,1,4
17154665,4,64
22546351,3,94
18471642,1,2
1012180,0,15
8603765,3,46
25391336,5,13
18656002,1,27
17593220,4,9
2890090,5,60
12543,2,98
13565914,2,36
16242285,3,14
47588,1,87
23616578,0,54
22609606,0,40
15736709,4,58
31552020,2,8
906860,0,38
17408508,4,45
42274000,5,69
77276,3,22
18965467,0,57
8519822,1,0
27187111,2,5
13090675,5,12
566781,1,0
340607,4,47
7877549,5,13
762390,3,12
6392654,4,52
103294,0,43
23204200,5,8
25446149,4,29
17901125,2,10
3900619,2,22
25111142,2,2
107029,0,59
1321926,5,37
5058029,5,67
26597918,2,24
37830526,3,97
12070452,5,59
13034211,3,37
7003187,2,63
65056,1,12
70490,4,26
13265293,1,77
107400,5,15
13157992,4,6
9627755,1,19
807044,0,3
115076,3,11
25695607,3,4
782854,5,62
411247,1,1
19139026,1,17
16304482,3,92
383480,2,29
3734317,0,31
4412611,2,4
31862,3,66
18246270,3,8
36672997,0,11
50750,3,11
9541839,0,4
30556459,1,69
4294292,3,57
5925969,3,10
22552582,1,78
9454,4,56
3761596,0,17
21541401,4,61
15927484,3,92
192954,2,36
17798649,1,17
7311738,5,75
18258203,3,77
23493101,2,14
6080748,5,2
9824,4,5
21538378,4,58
27173440,1,92
20809246,5,1
22595242,5,7
38723258,1,44
17720829,4,11
7165405,5,8
5181,1,3
70287,3,7
1651392,4,13
8521811,2,99
6591459,0,12
6533687,1,95
20877378,0,21
7090290,4,12
518492,5,10
13559482,0,16
2485785,5,11
89184,5,0
2409270,4,9
63827,1,0
350684,0,34
11979900,3,4
12875436,1,16
40745,0,59
17985733,4,17
40948826,4,7
13662,1,9
116866,0,16
17666113,1,67
13595639,1,42
18374572,4,20
17876011,5,32
16164030,1,4
94803,3,50
22929563,1,10
57540,1,3
7433963,2,43
6316171,5,11
54510,1,73
1047162,0,20
13176380,4,78
10101311,1,15
11947156,0,65
24611425,4,20
16076072,5,19
33507,5,85
6545199,2,15
6048350,0,71
1096582,1,7
5500127,0,61
11023952,0,1
16182349,2,99
18079806,0,86
24696484,4,99
18004404,2,41
797192,3,3
12628635,0,92
13613254,1,64
36174006,2,28
772852,5,37
176892,5,55
15734163,1,12
15808851,1,41
2802,5,18
11979622,0,68
20649195,4,13
6597858,5,93
16075611,2,54
53447,2,60
28439738,3,82
22782322,3,86
16291209,3,30
267972,1,0
18081620,2,44
24587641,1,92
1020102,2,9
143440,2,15
41948511,4,6
61146,0,14
21913812,1,5
502777,0,62
7842288,2,61
213577,0,17
13477702,3,1
7229730,3,7
22992,5,4
12104686,3,20
18308266,4,6
15836,1,65
263149,1,41
7857195,5,95
138180,4,58
8492768,4,14
963679,3,11
20653710,4,17
25322449,5,75
22030490,3,84
21470669,5,20
45245,5,20
20582519,3,18
10431447,4,61
18133689,0,9
25314447,1,21
7132233,2,10
26759,2,6
27834600,3,11
18158307,3,3
29492072,4,15
22091372,1,8
1547049,0,77
18248834,3,2
23281697,4,75
17027870,4,37
2153427,4,64
23462642,4,6
330264,4,72
6734246,1,61
12945191,4,87
787067,4,31
10165761,1,17
447434,4,50
9992246,1,74
20699996,3,28
22802230,0,12
19083232,1,64
404874,3,11
7635805,1,7
2634570,4,42
10302,5,43
40114260,3,17
569357,3,45
30365409,5,12
490867,5,1
37534862,4,60
18176562,4,1
18108542,2,88
15810910,2,87
17181677,0,77
2651714,2,79
13548259,1,51
25382874,2,7
53007,1,15
31248158,5,99
15823041,1,42
28096757,3,42
18076746,2,10
32974,5,63
555412,3,64
76889,5,89
656836,5,7
18054664,5,39
20772386,4,8
433716,5,32
17061489,5,2
484192,2,19
12997786,4,75
37799327,5,4
824734,1,26
256003,3,6
34804503,5,68
476909,4,42
5867763,3,0
402843,4,76
12452420,3,5
36471697,0,8
762390,3,44
12999514,5,15
25058360,1,45
22747804,5,59
15802983,4,25
18430440,4,77
15789443,2,77
1948904,3,13
22546289,0,6
29609847,5,0
30292905,1,10
207365,0,45
1924491,3,96
18664754,1,13
14978954,4,19
20442603,2,88
17909170,5,94
1048089,5,19
235111,4,79
16123804,4,32
34933997,2,7
35297311,2,74
23259068,2,17
17801425,4,98
22046993,3,10
7992862,5,4
773971,0,97
18296016,3,97
104101,5,82
8540246,3,7
25720433,1,65
41746914,5,100
131304,2,89
15721265,1,69
6288033,1,79
505644,3,93
1091470,0,15
12033455,0,22
6663818,3,55
15197,0,5
8789318,0,3
79787,4,10
16133166,0,10
9677446,1,8
15719338,4,12
6578293,0,76
13493936,3,99
17922897,0,26
10669,4,2
25430503,3,85
11732928,4,7
22877450,2,4
7201315,3,1
7982855,0,0
1079991,4,55
9489,5,2
22028380,3,5
8949352,2,58
22367070,0,4
9470293,3,12
7818683,5,86
17504621,2,3
18288212,3,98
181086,5,1
33413919,4,1
147014,5,7
17934493,5,53
1087196,0,70
22381326,3,13
42272458,3,18
9399336,2,0
33384139,5,48
17277857,0,6
383480,2,25
4332082,1,60
8387640,1,3
74406,5,14
712313,0,20
18667862,3,68
32980245,2,14
13038833,0,98
15848920,2,1
31952703,5,4
376817,3,1
24872027,5,3
30312779,3,13
3236765,4,1
22504506,1,13
8192391,1,21
33453,0,47
14761017,4,19
23012543,1,19
35534215,5,6
6944946,0,33
7841680,0,66
233712,0,5
563820,1,53
27239071,4,35
10188580,0,52
13101795,5,12
39735918,0,39
2064886,2,12
5982436,2,17
39643759,2,82
263731,4,20
18210687,5,27
40961427,2,14
23899848,3,41
374388,3,15
40223,0,76
12290008,3,36
17241697,1,54
104535,4,15
3659,3,9
7693972,2,71
25779851,4,67
27838211,1,35
25663637,3,19
1121116,5,16
14743629,0,19
16587763,5,6
15710564,2,8
35894887,0,5
13353619,5,46
16059376,5,6
17386062,3,8
44353,5,60
18158521,3,15
20332896,3,70
13529800,2,10
278753,5,39
18627958,1,94
3289941,2,56
18042108,1,19
22312660,5,7
36236388,2,34
17612897,1,71
28477789,4,6
12483970,3,87
18333656,0,17
335919,3,8
92517,5,88
8571791,0,6
33004156,2,10
39707352,0,4
5600151,3,25
306107,5,100
28217802,1,63
22606645,3,2
10691701,3,68
13664,1,11
123543,3,71
44361,2,10
23153351,3,23
35008759,1,68
24733803,5,25
26625420,4,14
12383252,4,73
38227140,2,44
17612697,0,27
18374572,4,15
23848452,2,34
31390,3,0
7781699,2,70
25893709,3,8
16280,0,12
22006321,0,67
239592,1,10
8140731,4,7
8240188,4,75
13120860,2,18
36136030,5,29
24487039,4,100
16123176,5,17
7198988,2,16
12901365,1,3
22060697,2,41
171759,2,4
602467,3,9
36605670,5,44
7092507,0,18
41396759,4,47
6649371,3,12
963679,1,33
1414,4,91
